55*,53,52,9,2,105.76,5,not out,2,Bangladesh,Chittagong,7 Nov 2003,2057
70*,56,47,9,4,148.93,5,not out,2,Bangladesh,Dhaka,10 Nov 2003,2059
52*,56,39,4,4,133.33,5,not out,2,Bangladesh,Dhaka,12 Nov 2003,2060
3,13,7,0,0,42.85,5,caught,1,Sri Lanka,Dambulla,18 Nov 2003,2063
8,17,9,0,1,88.88,4,caught,2,West Indies,Georgetown,18 Apr 2004,2118
TDNB,-,-,-,-,-,-,-,-,West Indies,Port of Spain,24 Apr 2004,2121
59,85,69,2,2,85.50,5,caught,1,West Indies,Gros Islet,1 May 2004,2125
43,66,47,2,1,91.48,4,caught,1,West Indies,Gros Islet,2 May 2004,2126
11,16,20,1,0,55.00,5,caught,2,West Indies,Bridgetown,5 May 2004,2127
21*,20,18,3,1,116.66,5,not out,2,West Indies,Leeds,1 Jul 2004,2137
106,127,121,11,2,87.60,5,bowled,1,New Zealand,Bristol,4 Jul 2004,2139
123,129,104,8,7,118.26,5,caught,1,West Indies,Lord's,6 Jul 2004,2140
34*,18,23,1,3,147.82,5,not out,2,India,Nottingham,1 Sep 2004,2164
99,113,93,9,4,106.45,5,caught,1,India,The Oval,3 Sep 2004,2165
6,7,8,1,0,75.00,5,caught,1,Zimbabwe,Birmingham,10 Sep 2004,2168
104,120,91,9,3,114.28,5,bowled,1,Sri Lanka,Southampton,17 Sep 2004,2177
16,10,9,1,1,177.77,5,caught,2,Australia,Birmingham,21 Sep 2004,2180
3,10,6,0,0,50.00,5,caught,1,West Indies,The Oval,25 Sep 2004,2182
DNB,-,-,-,-,-,-,-,2,Bangladesh,The Oval,16 Jun 2005,2249
19,37,22,1,1,86.36,5,caught,2,Australia,Bristol,19 Jun 2005,2251
17,19,21,1,1,80.95,4,caught,1,Bangladesh,Nottingham,21 Jun 2005,2252
44,90,61,6,0,72.13,5,caught,2,Australia,Chester-le-Street,23 Jun 2005,2253
22,22,29,3,0,75.86,3,lbw,2,Bangladesh,Leeds,26 Jun 2005,2255
DNB,-,-,-,-,-,-,-,2,Australia,Birmingham,28 Jun 2005,2256
8,14,9,2,0,88.88,5,caught,2,Australia,Lord's,2 Jul 2005,2258
DNB,-,-,-,-,-,-,-,2,Australia,Leeds,7 Jul 2005,2259
87,140,112,10,2,77.67,5,caught,1,Australia,Lord's,10 Jul 2005,2260
5,10,15,0,0,33.33,5,caught,1,Australia,The Oval,12 Jul 2005,2261
38,71,52,2,1,73.07,7,caught,2,Australia,Melbourne (Docklands),5 Oct 2005,2282
42,48,50,3,0,84.00,7,caught,2,Australia,Melbourne (Docklands),7 Oct 2005,2283
21,34,25,4,0,84.00,6,bowled,2,Australia,Melbourne (Docklands),9 Oct 2005,2284
72*,76,65,5,3,110.76,5,not out,1,Pakistan,Lahore,10 Dec 2005,2304
0,4,4,0,0,0.00,5,caught,1,Pakistan,Lahore,12 Dec 2005,2305
36,50,41,7,0,87.80,5,bowled,2,Pakistan,Karachi,15 Dec 2005,2306
40,76,48,4,1,83.33,5,lbw,2,Pakistan,Rawalpindi,19 Dec 2005,2307
39,94,73,3,1,53.42,5,bowled,1,Pakistan,Rawalpindi,21 Dec 2005,2308
41,38,37,4,2,110.81,5,lbw,2,India,Delhi,28 Mar 2006,2357
5,13,14,0,0,35.71,5,stumped,1,India,Faridabad,31 Mar 2006,2358
15,45,30,2,0,50.00,5,caught,2,India,Margao,3 Apr 2006,2359
12,31,21,1,0,57.14,5,caught,1,India,Kochi,6 Apr 2006,2360
0,6,7,0,0,0.00,3,lbw,1,India,Jaipur,15 Oct 2006,2429
4,31,15,0,0,26.66,4,caught,1,Australia,Jaipur,21 Oct 2006,2434
25,45,27,4,0,92.59,3,caught,2,West Indies,Ahmedabad,28 Oct 2006,2439
47*,62,38,5,0,123.68,6,not out,1,Australia,Melbourne,12 Jan 2007,2473
72*,101,75,7,0,96.00,6,not out,2,New Zealand,Hobart,16 Jan 2007,2475
27,65,38,3,0,71.05,6,caught,1,Australia,Brisbane,19 Jan 2007,2478
9,17,17,0,0,52.94,6,caught,2,New Zealand,Adelaide,23 Jan 2007,2482
16,33,28,1,0,57.14,6,caught,1,Australia,Adelaide,26 Jan 2007,2486
13,32,22,0,0,59.09,6,bowled,2,New Zealand,Perth,30 Jan 2007,2490
3,12,10,0,0,30.00,4,lbw,1,Australia,Sydney,2 Feb 2007,2497
17,31,15,2,0,113.33,6,caught,1,New Zealand,Brisbane,6 Feb 2007,2510
35,65,36,0,1,97.22,6,caught,2,Australia,Melbourne,9 Feb 2007,2515
42,71,50,3,0,84.00,6,caught,1,Australia,Sydney,11 Feb 2007,2519
0,8,1,0,0,0.00,6,caught,1,New Zealand,Gros Islet,16 Mar 2007,2536
DNB,-,-,-,-,-,-,-,2,Kenya,Gros Islet,24 Mar 2007,2553
43,64,62,4,0,69.35,6,bowled,1,Ireland,Providence,30 Mar 2007,2558
2,9,7,0,0,28.57,6,caught,2,Sri Lanka,North Sound,4 Apr 2007,2563
4,20,19,0,0,21.05,6,stumped,1,Australia,North Sound,8 Apr 2007,2565
23,29,21,3,1,109.52,6,bowled,2,Bangladesh,Bridgetown,11 Apr 2007,2568
5,14,10,0,0,50.00,6,bowled,1,South Africa,Bridgetown,17 Apr 2007,2574
15,23,20,2,0,75.00,6,caught,2,West Indies,Bridgetown,21 Apr 2007,2578
DNB,-,-,-,-,-,-,-,1,India,Southampton,21 Aug 2007,2611
9,5,7,2,0,128.57,6,caught,2,India,Bristol,24 Aug 2007,2613
5,8,8,1,0,62.50,6,caught,2,India,Manchester,30 Aug 2007,2617
DNB,-,-,-,-,-,-,-,2,India,Lord's,8 Sep 2007,2620
DNB,-,-,-,-,-,-,-,2,Scotland,Edinburgh,18 Aug 2008,2743
78,92,70,9,0,111.42,5,bowled,1,South Africa,Leeds,22 Aug 2008,2748
DNB,-,-,-,-,-,-,-,2,South Africa,Nottingham,26 Aug 2008,2754
78*,106,77,9,1,101.29,5,not out,1,South Africa,The Oval,29 Aug 2008,2757
31*,17,12,5,1,258.33,5,not out,2,South Africa,Lord's,31 Aug 2008,2759
TDNB,-,-,-,-,-,-,-,-,South Africa,Cardiff,3 Sep 2008,2761
4,3,3,1,0,133.33,5,lbw,2,India,Rajkot,14 Nov 2008,2774
43,49,35,4,3,122.85,5,lbw,2,India,Indore,17 Nov 2008,2777
26,54,46,2,0,56.52,5,lbw,1,India,Kanpur,20 Nov 2008,2778
41,53,30,3,1,136.66,5,caught,2,India,Bangalore,23 Nov 2008,2781
0,5,3,0,0,0.00,5,caught,1,India,Cuttack,26 Nov 2008,2783
0,5,6,0,0,0.00,6,caught,1,West Indies,Bridgetown,27 Mar 2009,2828
DNB,-,-,-,-,-,-,-,2,West Indies,Bridgetown,29 Mar 2009,2829
3,4,6,0,0,50.00,6,caught,1,West Indies,Gros Islet,3 Apr 2009,2833
